"","Day","Daily.Avg..Relative.Humidity....","Daily.Avg..Wind.Speed..km.h."
"1","2001-01-01 00:00",NA,NA
"2","2001-01-02 00:00",NA,NA
"3","2001-01-03 00:00",NA,NA
"4","2001-01-04 00:00",NA,NA
"5","2001-01-05 00:00",NA,NA
"6","2001-01-06 00:00",NA,NA
"7","2001-01-07 00:00",NA,NA
"8","2001-01-08 00:00",NA,NA
"9","2001-01-09 00:00",NA,NA
"10","2001-01-10 00:00",NA,NA
"11","2001-01-11 00:00",NA,NA
"12","2001-01-12 00:00",NA,NA
"13","2001-01-13 00:00",NA,NA
"14","2001-01-14 00:00",NA,NA
"15","2001-01-15 00:00",NA,NA
"16","2001-01-16 00:00",NA,NA
"17","2001-01-17 00:00",NA,NA
"18","2001-01-18 00:00",NA,NA
"19","2001-01-19 00:00",NA,NA
"20","2001-01-20 00:00",NA,NA
"21","2001-01-21 00:00",NA,NA
"22","2001-01-22 00:00",NA,NA
"23","2001-01-23 00:00",NA,NA
"24","2001-01-24 00:00",NA,NA
"25","2001-01-25 00:00",NA,NA
"26","2001-01-26 00:00",NA,NA
"27","2001-01-27 00:00",NA,NA
"28","2001-01-28 00:00",NA,NA
"29","2001-01-29 00:00",NA,NA
"30","2001-01-30 00:00",NA,NA
"31","2001-01-31 00:00",NA,NA
"32","2001-02-01 00:00",NA,NA
"33","2001-02-02 00:00",NA,NA
"34","2001-02-03 00:00",NA,NA
"35","2001-02-04 00:00",NA,NA
"36","2001-02-05 00:00",NA,NA
"37","2001-02-06 00:00",NA,NA
"38","2001-02-07 00:00",NA,NA
"39","2001-02-08 00:00",NA,NA
"40","2001-02-09 00:00",NA,NA
"41","2001-02-10 00:00",NA,NA
"42","2001-02-11 00:00",NA,NA
"43","2001-02-12 00:00",NA,NA
"44","2001-02-13 00:00",NA,NA
"45","2001-02-14 00:00",NA,NA
"46","2001-02-15 00:00",NA,NA
"47","2001-02-16 00:00",NA,NA
"48","2001-02-17 00:00",NA,NA
"49","2001-02-18 00:00",NA,NA
"50","2001-02-19 00:00",NA,NA
"51","2001-02-20 00:00",NA,NA
"52","2001-02-21 00:00",NA,NA
"53","2001-02-22 00:00",NA,NA
"54","2001-02-23 00:00",NA,NA
"55","2001-02-24 00:00",NA,NA
"56","2001-02-25 00:00",NA,NA
"57","2001-02-26 00:00",NA,NA
"58","2001-02-27 00:00",NA,NA
"59","2001-02-28 00:00",NA,NA
"60","2001-03-01 00:00",NA,NA
"61","2001-03-02 00:00",NA,NA
"62","2001-03-03 00:00",NA,NA
"63","2001-03-04 00:00",NA,NA
"64","2001-03-05 00:00",NA,NA
"65","2001-03-06 00:00",NA,NA
"66","2001-03-07 00:00",NA,NA
"67","2001-03-08 00:00",NA,NA
"68","2001-03-09 00:00",NA,NA
"69","2001-03-10 00:00",NA,NA
"70","2001-03-11 00:00",NA,NA
"71","2001-03-12 00:00",NA,NA
"72","2001-03-13 00:00",NA,NA
"73","2001-03-14 00:00",NA,NA
"74","2001-03-15 00:00",NA,NA
"75","2001-03-16 00:00",NA,NA
"76","2001-03-17 00:00",NA,NA
"77","2001-03-18 00:00",NA,NA
"78","2001-03-19 00:00",NA,NA
"79","2001-03-20 00:00",NA,NA
"80","2001-03-21 00:00",NA,NA
"81","2001-03-22 00:00",NA,NA
"82","2001-03-23 00:00",NA,NA
"83","2001-03-24 00:00",NA,NA
"84","2001-03-25 00:00",NA,NA
"85","2001-03-26 00:00",NA,NA
"86","2001-03-27 00:00",NA,NA
"87","2001-03-28 00:00",NA,NA
"88","2001-03-29 00:00",NA,NA
"89","2001-03-30 00:00",NA,NA
"90","2001-03-31 00:00",NA,NA
"91","2001-04-01 00:00",NA,NA
"92","2001-04-02 00:00",NA,NA
"93","2001-04-03 00:00",NA,NA
"94","2001-04-04 00:00",NA,NA
"95","2001-04-05 00:00",NA,NA
"96","2001-04-06 00:00",NA,NA
"97","2001-04-07 00:00",NA,NA
"98","2001-04-08 00:00",NA,NA
"99","2001-04-09 00:00",NA,NA
"100","2001-04-10 00:00",NA,NA
"101","2001-04-11 00:00",NA,NA
"102","2001-04-12 00:00",NA,NA
"103","2001-04-13 00:00",NA,NA
"104","2001-04-14 00:00",NA,NA
"105","2001-04-15 00:00",NA,NA
"106","2001-04-16 00:00",NA,NA
"107","2001-04-17 00:00",NA,NA
"108","2001-04-18 00:00",NA,NA
"109","2001-04-19 00:00",NA,NA
"110","2001-04-20 00:00",NA,NA
"111","2001-04-21 00:00",NA,NA
"112","2001-04-22 00:00",NA,NA
"113","2001-04-23 00:00",NA,NA
"114","2001-04-24 00:00",NA,NA
"115","2001-04-25 00:00",NA,NA
"116","2001-04-26 00:00",NA,NA
"117","2001-04-27 00:00",NA,NA
"118","2001-04-28 00:00",NA,NA
"119","2001-04-29 00:00",NA,NA
"120","2001-04-30 00:00",NA,NA
"121","2001-05-01 00:00",NA,NA
"122","2001-05-02 00:00",NA,NA
"123","2001-05-03 00:00",NA,NA
"124","2001-05-04 00:00",NA,NA
"125","2001-05-05 00:00",NA,NA
"126","2001-05-06 00:00",NA,NA
"127","2001-05-07 00:00",NA,NA
